enginesize,horsepower,citympg,highwaympg
130,111,21,27
130,111,21,27
152,154,19,26
109,102,24,30
136,115,18,22
136,110,19,25
136,110,19,25
136,110,19,25
131,140,17,20
131,160,16,22
108,101,23,29
108,101,23,29
164,121,21,28
164,121,21,28
164,121,20,25
209,182,16,22
209,182,16,22
209,182,15,20
61,48,47,53
90,70,38,43
90,70,38,43
90,68,37,41
90,68,31,38
98,102,24,30
90,68,31,38
90,68,31,38
90,68,31,38
98,102,24,30
122,88,24,30
156,145,19,24
92,58,49,54
92,76,31,38
79,60,38,42
92,76,30,34
92,76,30,34
92,76,30,34
92,76,30,34
110,86,27,33
110,86,27,33
110,86,27,33
110,86,27,33
110,101,24,28
110,100,25,31
111,78,24,29
90,70,38,43
90,70,38,43
119,90,24,29
258,176,15,19
258,176,15,19
326,262,13,17
91,68,30,31
91,68,31,38
91,68,31,38
91,68,31,38
91,68,31,38
70,101,17,23
70,101,17,23
70,101,17,23
80,135,16,23
122,84,26,32
122,84,26,32
122,84,26,32
122,84,26,32
122,64,36,42
122,84,26,32
140,120,19,27
134,72,31,39
183,123,22,25
183,123,22,25
183,123,22,25
183,123,22,25
234,155,16,18
234,155,16,18
308,184,14,16
304,184,14,16
140,175,19,24
92,68,37,41
92,68,31,38
92,68,31,38
98,102,24,30
110,116,23,30
122,88,25,32
156,145,19,24
156,145,19,24
156,145,19,24
122,88,25,32
122,88,25,32
110,116,23,30
110,116,23,30
97,69,31,37
103,55,45,50
97,69,31,37
97,69,31,37
97,69,31,37
97,69,31,37
97,69,31,37
97,69,31,37
97,69,31,37
97,69,31,37
120,97,27,34
120,97,27,34
181,152,17,22
181,152,17,22
181,152,19,25
181,160,19,25
181,200,17,23
181,160,19,25
120,97,19,24
152,95,28,33
120,97,19,24
152,95,25,25
120,95,19,24
152,95,28,33
120,95,19,24
152,95,25,25
120,97,19,24
152,95,28,33
134,142,18,24
90,68,37,41
98,102,24,30
90,68,31,38
90,68,31,38
98,68,31,38
122,88,24,30
156,145,19,24
151,143,19,27
194,207,17,25
194,207,17,25
194,207,17,25
203,288,17,28
132,90,23,31
132,90,23,31
121,110,21,28
121,110,21,28
121,110,21,28
121,110,21,28
121,160,19,26
121,160,19,26
97,69,31,36
108,73,26,31
108,73,26,31
108,82,32,37
108,82,28,33
108,94,26,32
108,82,24,25
108,111,24,29
108,82,28,32
108,94,25,31
108,82,23,29
108,111,23,23
92,62,35,39
92,62,31,38
92,62,31,38
92,62,31,37
92,62,27,32
92,62,27,32
98,70,30,37
98,70,30,37
110,56,34,36
110,56,38,47
98,70,38,47
98,70,28,34
98,70,28,34
98,70,29,34
98,70,29,34
98,112,26,29
98,112,26,29
146,116,24,30
146,116,24,30
146,116,24,30
146,116,24,30
146,116,24,30
146,116,24,30
122,92,29,34
110,73,30,33
122,92,27,32
122,92,27,32
122,92,27,32
171,161,20,24
171,161,19,24
171,156,20,24
161,156,19,24
97,52,37,46
109,85,27,34
97,52,37,46
109,85,27,34
109,85,27,34
97,68,37,42
109,100,26,32
109,90,24,29
109,90,24,29
136,110,19,24
97,68,33,38
109,88,25,31
141,114,23,28
141,114,23,28
141,114,24,28
141,114,24,28
130,162,17,22
130,162,17,22
141,114,23,28
141,160,19,25
173,134,18,23
145,106,26,27
141,114,19,25
