district,literacy_rate,gender_ratio_f_to_1000m,percent_primary_ed,percent_age_below_29
JAMMU AND KASHMIR - Kupwara,0.51,835,0.12,0.69
JAMMU AND KASHMIR - Badgam,0.45,894,0.11,0.67
JAMMU AND KASHMIR - Leh(Ladakh),0.7,690,0.11,0.53
JAMMU AND KASHMIR - Kargil,0.61,810,0.14,0.62
JAMMU AND KASHMIR - Punch,0.55,893,0.15,0.64
JAMMU AND KASHMIR - Rajouri,0.57,860,0.14,0.63
JAMMU AND KASHMIR - Kathua,0.63,890,0.13,0.58
JAMMU AND KASHMIR - Baramula,0.54,885,0.12,0.63
JAMMU AND KASHMIR - Bandipore,0.47,889,0.12,0.64
JAMMU AND KASHMIR - Srinagar,0.61,900,0.14,0.56
JAMMU AND KASHMIR - Ganderbal,0.48,874,0.13,0.65
JAMMU AND KASHMIR - Pulwama,0.52,912,0.1,0.61
JAMMU AND KASHMIR - Shupiyan,0.51,951,0.11,0.64
JAMMU AND KASHMIR - Anantnag,0.51,927,0.09,0.65
JAMMU AND KASHMIR - Kulgam,0.49,951,0.11,0.63
JAMMU AND KASHMIR - Doda,0.53,919,0.12,0.64
JAMMU AND KASHMIR - Ramban,0.44,902,0.12,0.66
JAMMU AND KASHMIR - Kishtwar,0.47,920,0.11,0.63
JAMMU AND KASHMIR - Udhampur,0.58,870,0.14,0.61
JAMMU AND KASHMIR - Reasi,0.48,890,0.13,0.65
JAMMU AND KASHMIR - Jammu,0.74,880,0.12,0.53
JAMMU AND KASHMIR - Samba,0.72,886,0.13,0.56
HIMACHAL PRADESH - Chamba,0.62,986,0.19,0.59
HIMACHAL PRADESH - Kangra,0.76,1012,0.16,0.51
HIMACHAL PRADESH - Lahul AND Spiti,0.69,903,0.16,0.5
HIMACHAL PRADESH - Kullu,0.7,942,0.18,0.56
HIMACHAL PRADESH - Mandi,0.72,1007,0.16,0.52
HIMACHAL PRADESH - Hamirpur,0.79,1095,0.16,0.49
HIMACHAL PRADESH - Una,0.77,976,0.17,0.52
HIMACHAL PRADESH - Bilaspur,0.75,981,0.16,0.51
HIMACHAL PRADESH - Solan,0.74,880,0.15,0.55
HIMACHAL PRADESH - Sirmaur,0.68,918,0.19,0.59
HIMACHAL PRADESH - Shimla,0.75,915,0.14,0.52
HIMACHAL PRADESH - Kinnaur,0.72,819,0.16,0.5
PUNJAB - Gurdaspur,0.71,895,0.14,0.55
PUNJAB - Kapurthala,0.71,912,0.16,0.53
PUNJAB - Jalandhar,0.74,915,0.15,0.53
PUNJAB - Hoshiarpur,0.76,961,0.16,0.52
PUNJAB - Shahid Bhagat Singh Nagar,0.72,954,0.18,0.52
PUNJAB - Fatehgarh Sahib,0.71,871,0.17,0.53
PUNJAB - Ludhiana,0.73,873,0.14,0.54
PUNJAB - Moga,0.63,893,0.16,0.54
PUNJAB - Firozpur,0.6,893,0.15,0.58
PUNJAB - Muktsar,0.58,896,0.15,0.55
PUNJAB - Faridkot,0.62,890,0.14,0.54
PUNJAB - Bathinda,0.61,868,0.13,0.54
PUNJAB - Mansa,0.55,883,0.14,0.55
PUNJAB - Patiala,0.67,891,0.15,0.55
PUNJAB - Amritsar,0.68,889,0.13,0.56
PUNJAB - Tarn Taran,0.59,900,0.15,0.57
PUNJAB - Rupnagar,0.73,915,0.16,0.53
PUNJAB - Sahibzada Ajit Singh Nagar,0.74,879,0.13,0.54
PUNJAB - Sangrur,0.61,885,0.15,0.55
PUNJAB - Barnala,0.6,876,0.15,0.54
CHANDIGARH - Chandigarh,0.76,818,0.11,0.57
UTTARAKHAND - Uttarkashi,0.65,958,0.14,0.61
UTTARAKHAND - Chamoli,0.72,1019,0.17,0.59
UTTARAKHAND - Rudraprayag,0.71,1114,0.21,0.59
UTTARAKHAND - Tehri Garhwal,0.66,1077,0.17,0.6
UTTARAKHAND - Dehradun,0.74,902,0.14,0.57
UTTARAKHAND - Garhwal,0.72,1103,0.16,0.55
UTTARAKHAND - Pithoragarh,0.71,1020,0.18,0.57
UTTARAKHAND - Bageshwar,0.69,1090,0.18,0.57
UTTARAKHAND - Almora,0.7,1139,0.19,0.56
UTTARAKHAND - Champawat,0.68,980,0.19,0.6
UTTARAKHAND - Nainital,0.73,934,0.16,0.59
UTTARAKHAND - Udham Singh Nagar,0.63,920,0.18,0.63
UTTARAKHAND - Hardwar,0.62,880,0.18,0.64
HARYANA - Panchkula,0.72,873,0.13,0.55
HARYANA - Ambala,0.72,885,0.15,0.55
HARYANA - Yamunanagar,0.69,877,0.16,0.57
HARYANA - Kurukshetra,0.67,888,0.15,0.57
HARYANA - Kaithal,0.6,881,0.15,0.59
HARYANA - Karnal,0.65,887,0.15,0.59
